Activity,Year,Locality,Frequency,Percentage
Attend a circus,2011,Remote,Weekly Participation (once),
Attend a circus,2011,Remote,Monthly Participation (multiple),
Attend a circus,2011,Remote,Monthly Participation (once),
Attend a circus,2012,Remote,Participated in the last 12 months,2.94
Attend a circus,2012,Remote,Weekly Participation (multiple),0.00
Attend a circus,2012,Remote,Weekly Participation (once),0.06
Attend a circus,2012,Remote,Monthly Participation (multiple),0.00
Attend a circus,2012,Remote,Monthly Participation (once),0.12
Attend a circus,2013,Remote,Participated in the last 12 months,
Attend a circus,2013,Remote,Weekly Participation (multiple),
Attend a circus,2013,Remote,Weekly Participation (once),
Attend a circus,2013,Remote,Monthly Participation (multiple),
Attend a circus,2013,Remote,Monthly Participation (once),
Attend a circus,2014,Remote,Participated in the last 12 months,
Attend a circus,2014,Remote,Weekly Participation (multiple),
Attend a circus,2014,Remote,Weekly Participation (once),
Attend a circus,2014,Remote,Monthly Participation (multiple),
Attend a circus,2014,Remote,Monthly Participation (once),
Attend a circus,2015,Remote,Participated in the last 12 months,
Attend a circus,2015,Remote,Weekly Participation (multiple),
Attend a circus,2015,Remote,Weekly Participation (once),
Attend a circus,2015,Remote,Monthly Participation (multiple),
Attend a circus,2015,Remote,Monthly Participation (once),
Attend a circus,2016,Remote,Participated in the last 12 months,3.24
Attend a circus,2016,Remote,Weekly Participation (multiple),0.01
Attend a circus,2016,Remote,Weekly Participation (once),0.06
Attend a circus,2016,Remote,Monthly Participation (multiple),0.01
Attend a circus,2016,Remote,Monthly Participation (once),0.04
Attend a circus,2017,Remote,Participated in the last 12 months,3.20
Attend a circus,2017,Remote,Weekly Participation (multiple),0.01
Attend a circus,2017,Remote,Weekly Participation (once),0.06
Attend a circus,2017,Remote,Monthly Participation (multiple),0.02
Attend a circus,2017,Remote,Monthly Participation (once),0.06
Attend a circus,2018,Remote,Participated in the last 12 months,2.75
Attend a circus,2018,Remote,Weekly Participation (multiple),0.03
Attend a circus,2018,Remote,Weekly Participation (once),0.04
Attend a circus,2018,Remote,Monthly Participation (multiple),0.00
Attend a circus,2018,Remote,Monthly Participation (once),0.05
Attend a state or county fair,2010,Remote,Participated in the last 12 months,
Attend a state or county fair,2010,Remote,Weekly Participation (multiple),
Attend a state or county fair,2010,Remote,Weekly Participation (once),
Attend a state or county fair,2010,Remote,Monthly Participation (multiple),
Attend a state or county fair,2010,Remote,Monthly Participation (once),
Attend a state or county fair,2011,Remote,Participated in the last 12 months,
